=== ppl_streaming start 2026-08-16 00:27:42 ===
corpus /Users/kk/work/research/dsv4-streaming/streaming/../logs/ppl_corpus.npy (200,000 tokens, 195 windows available); running first 195 windows x 1024 tokens; cache 8.0 GB, store lru
[store] prefill (get_many) reads: page-cached; insert policy: fill-no-evict
[load] resident weights in 0.9s (9.4 GB active)
[load] done in 0.9s
[win 1/195] nll_sum 1439.37 over 1023 tok  ppl 4.0837  cumulative ppl 4.0837  63s (16.22 tok/s)  store {'hits': 0, 'misses': 8873, 'hit_rate': 0.0, 'read_gb': 125.6, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 8308}  mem peak 24.7 GB
[win 2/195] nll_sum 1133.07 over 1023 tok  ppl 3.0271  cumulative ppl 3.5159  94s (10.95 tok/s)  store {'hits': 565, 'misses': 17430, 'hit_rate': 0.0314, 'read_gb': 246.74, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 16865}  mem peak 25.2 GB
[win 3/195] nll_sum 953.53 over 1023 tok  ppl 2.5398  cumulative ppl 3.1547  82s (12.45 tok/s)  store {'hits': 1130, 'misses': 25534, 'hit_rate': 0.0424, 'read_gb': 361.45, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 24969}  mem peak 25.3 GB
[win 4/195] nll_sum 1152.75 over 1023 tok  ppl 3.0859  cumulative ppl 3.1374  88s (11.58 tok/s)  store {'hits': 1695, 'misses': 33775, 'hit_rate': 0.0478, 'read_gb': 478.11, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 33210}  mem peak 25.3 GB
[win 5/195] nll_sum 1156.16 over 1023 tok  ppl 3.0962  cumulative ppl 3.1291  82s (12.50 tok/s)  store {'hits': 2260, 'misses': 41882, 'hit_rate': 0.0512, 'read_gb': 592.87, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 41317}  mem peak 25.3 GB
[win 6/195] nll_sum 1639.95 over 1023 tok  ppl 4.9683  cumulative ppl 3.3797  85s (12.02 tok/s)  store {'hits': 2825, 'misses': 50389, 'hit_rate': 0.0531, 'read_gb': 713.3, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 49824}  mem peak 25.3 GB
[win 7/195] nll_sum 1929.76 over 1023 tok  ppl 6.5954  cumulative ppl 3.7184  89s (11.55 tok/s)  store {'hits': 3390, 'misses': 59253, 'hit_rate': 0.0541, 'read_gb': 838.77, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 58688}  mem peak 25.3 GB
[win 8/195] nll_sum 1836.28 over 1023 tok  ppl 6.0194  cumulative ppl 3.9492  79s (12.90 tok/s)  store {'hits': 3955, 'misses': 67871, 'hit_rate': 0.0551, 'read_gb': 960.77, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 67306}  mem peak 25.3 GB
[win 9/195] nll_sum 2162.42 over 1023 tok  ppl 8.2797  cumulative ppl 4.2878  86s (11.90 tok/s)  store {'hits': 4520, 'misses': 76452, 'hit_rate': 0.0558, 'read_gb': 1082.24, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 75887}  mem peak 25.3 GB
[win 10/195] nll_sum 1340.49 over 1023 tok  ppl 3.7075  cumulative ppl 4.2259  79s (12.98 tok/s)  store {'hits': 5085, 'misses': 85252, 'hit_rate': 0.0563, 'read_gb': 1206.81, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 84687}  mem peak 25.3 GB
[win 11/195] nll_sum 1491.31 over 1023 tok  ppl 4.2964  cumulative ppl 4.2322  88s (11.62 tok/s)  store {'hits': 5649, 'misses': 93735, 'hit_rate': 0.0568, 'read_gb': 1326.89, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 93170}  mem peak 25.3 GB
